YEAR  Globe  North  Tropics  South
1967  1.727562  1.206921  0.591617  -0.070977  
1968  1.896106  1.045039  0.950883  -0.099816  
1969  0.534290  1.113999  -0.632118  0.052408  
1970  0.851749  0.970205  -0.143923  0.025466  
1971  1.940936  1.048342  0.839901  0.052693  
1972  0.835823  0.865171  0.019676  -0.049024  
1973  1.581402  1.506192  -0.087088  0.162298  
1974  3.531541  1.077155  2.295618  0.158767  
1975  1.824661  1.111160  0.704724  0.008777  
1976  2.227318  1.443073  0.748068  0.036176  
1977  1.689137  1.276234  0.392020  0.020883  
1978  2.660149  1.390321  1.193387  0.076440  
1979  1.217522  1.261437  -0.059009  0.015094  
1980  0.928521  1.265804  -0.258644  -0.078640  
1981  2.457941  1.065532  1.359264  0.033144  
1982  0.925958  1.106134  -0.131517  -0.048659  
1983  0.455353  1.393743  -0.963349  0.024959  
1984  2.713220  1.444073  1.073240  0.195907  
1985  2.857251  1.677261  1.114725  0.065265  
1986  1.879754  1.284878  0.558354  0.036522  
1987  0.524507  1.570309  -1.070401  0.024598  
1988  2.149433  1.406044  0.742205  0.001184  
1989  3.270233  1.295363  1.946366  0.028504  
1990  1.343561  1.655386  -0.328405  0.016580  
1991  1.126273  1.549784  -0.425827  0.002317  
1992  1.187969  1.407267  -0.415047  0.195750  
1993  2.641886  1.990110  0.487590  0.164186  
1994  0.669465  1.050967  -0.319429  -0.062073  
1995  1.093253  1.426414  -0.361498  0.028337  
1996  2.641986  1.634366  0.890644  0.116975  
1997  2.051207  1.762304  0.273377  0.015525  
1998  1.345918  1.753732  -0.469766  0.061953  
1999  2.729321  1.406725  1.228350  0.094246  
2000  3.172729  1.565006  1.454651  0.153072  
2001  1.458450  1.666538  -0.282849  0.074761  
2002  0.694789  1.753477  -0.910739  -0.147948  
2003  1.880987  1.706743  0.170140  0.004105  
2004  2.419491  1.808715  0.610763  0.000012  
2005  1.039553  1.904633  -0.882875  0.017796  
2006  2.410448  1.506831  0.959478  -0.055861  
2007  2.412355  1.664913  0.726842  0.020600  
2008  2.960087  1.837190  1.138288  -0.015391  
2009  2.236751  2.241633  0.112178  -0.117061  
2010  2.384969  1.940902  0.318638  0.125428  
2011  3.412289  1.899996  1.433062  0.079231  
2012  1.378662  1.384758  -0.042504  0.036407  
2013  2.353319  2.136865  0.292106  -0.075653  
2014  2.782379  2.057599  0.701569  0.023210  
2015  1.128110  1.780673  -0.640032  -0.012531  
2016  2.358127  2.269702  0.024413  0.064012  
