YEAR  Globe  North  Tropics  South
1987  1.269316  1.707014  -0.503118  0.065420  
1988  2.838193  1.271821  1.540900  0.025471  
1989  4.221178  1.320398  2.828601  0.072179  
1990  2.432484  1.778050  0.565740  0.088693  
1991  2.021711  1.590754  0.407499  0.023458  
1992  2.378327  1.438351  0.671862  0.268115  
1993  4.017597  2.225681  1.574143  0.217774  
1994  1.698752  1.070371  0.689820  -0.061438  
1995  2.230792  1.490381  0.706830  0.033581  
1996  3.884981  1.644760  2.071659  0.168562  
1997  3.245004  1.838630  1.372156  0.034218  
1998  2.290817  1.693720  0.499738  0.097359  
1999  3.991836  1.414049  2.441078  0.136708  
2000  4.471450  1.506996  2.765467  0.198986  
2001  2.560803  1.604216  0.830502  0.126085  
2002  1.675060  1.678892  0.002231  -0.006063  
2003  3.069773  1.634698  1.387902  0.047173  
2004  3.589064  1.884326  1.676506  0.028232  
2005  2.094394  2.149084  -0.114464  0.059774  
2006  3.347174  1.344297  1.996897  0.005980  
2007  3.402544  1.597369  1.750940  0.054235  
2008  4.028851  1.777210  2.217441  0.034199  
2009  3.194595  2.152813  1.139217  -0.097435  
2010  3.293545  1.831556  1.238615  0.223374  
2011  4.516333  1.834612  2.518656  0.163065  
2012  2.233782  1.175597  0.958987  0.099198  
2013  3.325061  2.192277  1.175715  -0.042931  
2014  3.666471  1.991698  1.566233  0.108540  
2015  1.688407  1.680127  -0.028344  0.036623  
2016  3.200664  2.301494  0.773746  0.125424  
