,ELUC_net,ELUC_turnover,ELUC_harvest,ELUC_all
1603,-0.000319002,-0.0567742,-0.005859342,-0.062952544
1604,-0.012151368,-0.05161482,-0.006940684,-0.070706872
1605,0.051822841,-0.055393737,-0.00207514,-0.005646037
1606,-0.005241806,-0.042839212,-0.019669138,-0.067750156
1607,-0.054738066,-0.05171797,-0.00905946,-0.115515496
1608,-0.034651033,-0.045766865,-0.007557069,-0.087974968
1609,-0.011247311,-0.043775179,-0.008557991,-0.063580481
1610,0.016753208,-0.041321494,0.001370011,-0.023198276
1611,-0.054956053,-0.03973187,-0.005636943,-0.100324866
1612,-0.05737979,-0.047235211,-0.000844901,-0.105459902
1613,0.003654715,-0.046495538,-0.009147106,-0.051987928
1614,-0.012393933,-0.049791673,-0.001619605,-0.063805212
1615,0.037947009,-0.048775528,-0.012434467,-0.023262986
1616,-0.00230888,-0.036370387,0.009110163,-0.029569105
1617,-0.040749408,-0.041332031,-0.001903623,-0.083985061
1618,-0.025810287,-0.047060548,0.00204582,-0.070825015
1619,-0.010683328,-0.040529996,-0.009795881,-0.061009205
1620,-0.010254536,-0.036882327,-0.0149359,-0.062072763
1621,-0.04218235,-0.053109552,-0.009707767,-0.104999669
1622,-0.07377623,-0.031523986,-0.008015818,-0.113316035
1623,-0.044978911,-0.034623443,-0.001677151,-0.081279505
1624,-0.002429777,-0.040657536,-0.006341184,-0.049428497
1625,0.032457135,-0.043605427,-0.007329899,-0.018478191
1626,-0.003687901,-0.035170011,-0.015890037,-0.054747948
1627,-0.069637358,-0.040784158,-0.01074363,-0.121165146
1628,0.020730121,-0.036502113,-0.012481963,-0.028253956
1629,-0.028130492,-0.035514279,-0.009296994,-0.072941765
1630,-0.015404169,-0.029060655,-0.004069079,-0.048533902
1631,-0.066063039,-0.029918272,-0.005831358,-0.10181267
1632,-0.022504857,-0.046497383,-0.009076776,-0.078079016
1633,-0.049410981,-0.052462623,-0.010454135,-0.112327739
1634,0.008099537,-0.034968919,-0.007190077,-0.03405946
1635,0.019438787,-0.03445,-0.01614552,-0.031156733
1636,-0.016278597,-0.022673736,0.011660903,-0.02729143
1637,-0.048133698,-0.035119109,-0.000999704,-0.084252511
1638,0.009297321,-0.040565127,-0.000302846,-0.031570652
1639,-0.036893299,-0.028544151,-0.007450023,-0.072887474
1640,0.007198114,-0.035068005,-0.045049375,-0.072919267
1641,-0.062371582,-0.011539906,0.002231168,-0.07168032
1642,-0.061202546,-0.042904609,-0.005270529,-0.109377684
1643,-0.005213251,-0.037770244,0.000615187,-0.042368309
1644,-0.011388609,-0.030931784,-0.004417407,-0.046737801
1645,0.043834872,-0.038331174,-0.003662701,0.001840997
1646,-0.017587421,-0.03196979,-0.011641576,-0.061198788
1647,-0.061053929,-0.041599602,-0.004021919,-0.10667545
1648,-0.003424364,-0.041744364,-0.002892921,-0.048061649
1649,-0.013800871,-0.035631653,-0.009706425,-0.059138948
1650,-0.032695254,-0.018947718,-0.00014113,-0.051784102
1651,-0.059639111,-0.029429116,-0.012009601,-0.101077827
1652,-0.06269045,-0.026767109,-0.005797065,-0.095254624
1653,-0.008944035,-0.02660994,-0.007790198,-0.043344172
1654,-0.00216114,-0.036085879,-0.011969134,-0.050216154
1655,0.039947189,-0.033133324,-0.00471574,0.002098125
1656,-0.007484383,-0.029463341,-0.005927256,-0.042874981
1657,-0.052542482,-0.036153999,-0.012723241,-0.101419722
1658,0.003448876,-0.042262147,0.003414956,-0.035398315
1659,-0.033035815,-0.036907862,-0.002090642,-0.072034319
1660,-0.007649303,-0.049083557,-0.04226991,-0.099002771
1661,-0.054718487,-0.046934799,0.001033409,-0.100619877
1662,-0.061770387,-0.024268746,-0.000871979,-0.086911113
1663,-0.030036552,-0.048293082,-0.007105319,-0.085434953
1664,-0.017823443,-0.034649867,-0.004104714,-0.056578024
1665,0.035029753,-0.044020093,-0.006042281,-0.01503262
1666,-0.040212571,-0.020618192,-0.002606508,-0.063437271
1667,-0.046689272,-0.040860893,-0.003838564,-0.091388729
1668,-0.012250576,-0.033724448,-0.00626373,-0.052238754
1669,-0.00254403,-0.01176405,-0.008361228,-0.022669307
1670,-0.017515984,-0.050545742,-0.005713716,-0.073775442
1671,-0.045857768,-0.039260967,-0.002369077,-0.087487813
1672,-0.05978467,-0.042303851,0.003153513,-0.098935008
1673,-0.02842312,-0.038656853,0.001737113,-0.065342861
1674,-0.019455833,-0.037522025,-0.004263342,-0.0612412
1675,0.05396358,-0.029609672,0.000352657,0.024706564
1676,-0.052983656,-0.04142751,-0.005706602,-0.100117768
1677,-0.02404727,-0.047917977,-0.018549754,-0.090515001
1678,-0.041317309,-0.037896509,0.00841243,-0.070801388
1679,-0.032157628,-0.020211445,-0.0047552,-0.057124273
1680,0.008293934,-0.04763102,-0.037602774,-0.07693986
1681,-0.056859998,-0.036208252,0.003176665,-0.089891585
1682,-0.017979337,-0.035084682,-0.003955933,-0.057019952
1683,-0.096034563,-0.038699518,-0.00913969,-0.143873771
1684,-0.029254566,-0.043144607,-0.004329344,-0.076728517
1685,0.02895932,-0.039358074,-0.007771911,-0.018170664
1686,-0.047935929,-0.029227252,-0.002441018,-0.079604199
1687,-0.016921945,-0.034668271,0.005662386,-0.04592783
1688,-0.021219152,-0.053214288,-0.011616803,-0.086050243
1689,-0.011820018,-0.029294026,-0.007033479,-0.048147523
1690,-0.035741812,-0.050010046,0.001343687,-0.08440817
1691,-0.039362906,-0.047937942,-0.002625836,-0.089926683
1692,-0.0707516,-0.033985674,-0.003797657,-0.108534931
1693,-0.050411172,-0.040313771,-0.004235777,-0.09496072
1694,-0.014818308,-0.027716112,-0.006373312,-0.048907732
1695,0.055715658,-0.041631789,-0.001634,0.012449869
1696,-0.064727909,-0.019913683,-0.009065871,-0.093707462
1697,-0.028169256,-0.033912928,-0.011609192,-0.073691375
1698,-0.037327305,-0.049978871,0.003130959,-0.084175217
1699,-0.028628708,-0.027683212,-0.00424779,-0.06055971
1700,-0.012692031,-0.040119055,-0.039044893,-0.091855979
1701,-0.039913869,-0.062817521,0.004065119,-0.09866627
1702,-0.053795707,-0.008090678,-0.001352579,-0.063238964
1703,-0.119069311,-0.030561276,-0.009308872,-0.158939459
1704,-0.040409636,-0.033616575,-0.001966676,-0.075992886
1705,0.004755938,-0.027960405,-0.004437574,-0.02764204
1706,-0.079323483,-0.024531108,-0.004529379,-0.108383969
1707,-0.033076969,-0.018347815,0.003300481,-0.048124303
1708,-0.053601653,-0.041450247,-0.004328706,-0.099380607
1709,-0.005444341,-0.008443235,-0.009523889,-0.023411464
1710,0.002976261,-0.029705638,-0.002662175,-0.029391552
1711,-0.075660479,-0.016987267,-0.009327595,-0.101975341
1712,-0.047868384,-0.020619098,-0.011044945,-0.079532426
1713,-0.086144931,-0.024569377,0.001647439,-0.109066869
1714,-0.055577984,-0.003347893,0.000533952,-0.058391926
1715,0.009398026,-0.013465024,0.001099512,-0.002967487
1716,-0.099894094,-0.001516325,-0.011807536,-0.113217955
1717,-0.027290214,-0.00627717,-0.013008944,-0.046576328
1718,-0.106422874,-0.020336454,-0.010120482,-0.136879811
1719,0.013298091,-0.004513004,-0.00257698,0.006208107
1720,-0.009897635,-0.017649564,-0.035818232,-0.063365431
1721,-0.058592816,0.001142327,-0.00137392,-0.058824409
1722,-0.03622825,-0.018162779,-0.004360063,-0.058751093
1723,-0.057314191,-0.021672069,-0.009733906,-0.088720166
1724,-0.065317863,-0.01572614,-0.007152765,-0.088196768
1725,0.050669206,-0.016427579,-0.012576671,0.021664956
1726,-0.090391412,-0.010299264,-0.002641606,-0.103332283
1727,-0.0387575,-0.003191245,-0.015236791,-0.057185535
1728,-0.054979403,-0.045410692,-0.001435725,-0.101825821
1729,-0.023078201,-0.006416815,-0.006723906,-0.036218922
1730,-0.015180629,-0.029036948,0.002251771,-0.041965807
1731,-0.072631655,-0.020159771,-0.008740124,-0.10153155
1732,-0.047959719,-0.03249324,-0.000107173,-0.080560131
1733,-0.078924655,-0.027085641,-0.004154425,-0.11016472
1734,-0.080458948,-0.023162809,-0.010887054,-0.114508811
1735,0.04729373,-0.03101114,-0.004648027,0.011634563
1736,-0.07752973,-0.003412352,-0.021365516,-0.102307597
1737,-0.066384638,-0.019840195,-0.005274002,-0.091498834
1738,-0.083520565,-0.04776084,-0.010749397,-0.142030802
1739,-0.043009266,-0.023762511,-0.018820748,-0.085592524
1740,-0.002387348,-0.045978262,-0.007725036,-0.056090645
1741,-0.09205645,-0.037801081,-0.016349598,-0.146207129
1742,-0.049893326,-0.027251098,-0.013891904,-0.091036328
1743,-0.114936949,-0.037611784,-0.012440742,-0.164989474
1744,-0.086341174,-0.039103865,-0.008383357,-0.133828396
1745,0.022274204,-0.024869102,-0.011096115,-0.013691014
1746,-0.037031275,-0.018532046,-0.011905985,-0.067469306
1747,-0.127805089,-0.029948861,-0.009863105,-0.167617055
1748,-0.134963777,-0.025934464,-0.012274849,-0.17317309
1749,-0.035438513,-0.01644402,-0.017119069,-0.069001602
1750,-0.034343934,-0.043274883,-0.010948786,-0.088567603
1751,-0.086400582,-0.035663261,-0.012795647,-0.13485949
1752,-0.089654792,-0.035663362,-0.01368588,-0.139004033
1753,-0.136381402,-0.020976603,-0.018239468,-0.175597473
1754,-0.10353574,-0.039742373,-0.010872945,-0.154151057
