"YEAR" "GLOBAL (PgC/y)" "NORTH (PgC/y)" "TROPICS (PgC/y)" "SOUTH (PgC/y)"
1860 -0.0364517383277416 0.999673068523407 -1.10879063606262 0.0726657882332802
1861 0.0272828061133623 -0.315139055252075 0.440695106983185 -0.0982732474803925
1862 -0.806541383266449 -0.41122704744339 -0.347201585769653 -0.0481127798557281
1863 0.909274399280548 0.146710723638535 0.734189689159393 0.028373945504427
1864 0.174140930175781 -0.158829927444458 0.266412943601608 0.066557914018631
1865 0.278315216302872 -0.0802867263555527 0.275410860776901 0.0831910744309425
1866 -0.987043499946594 -0.245373591780663 -0.790794610977173 0.04912468791008
1867 0.221562176942825 0.015451324172318 0.191309779882431 0.0148010719567537
1868 -0.338280081748962 -0.143274694681168 -0.0543621517717838 -0.140643239021301
1869 -0.0745622217655182 0.0268871691077948 0.00458947336301208 -0.106038860976696
1870 -0.209571555256844 -0.0272982027381659 -0.0977509468793869 -0.0845224037766457
1871 -0.0633132085204124 -0.469167441129684 0.418286770582199 -0.0124325398355722
1872 0.794216573238373 -0.136945754289627 0.829596400260925 0.101565964519978
1873 -0.576894342899323 -0.145765319466591 -0.460572928190231 0.0294439028948545
1874 -0.113864801824093 -0.121375478804111 0.075683206319809 -0.0681725293397903
1875 0.503485143184662 -0.309183448553085 0.750035881996155 0.0626327320933342
1876 -1.13757753372192 -0.377064853906631 -0.776795208454132 0.0162825137376785
1877 0.726907014846802 0.476762264966965 0.236884027719498 0.0132607417181134
1878 0.229436874389648 -0.199305012822151 0.393919587135315 0.0348223075270653
1879 -0.774587571620941 0.345857322216034 -1.08706712722778 -0.0333778448402882
1880 -0.234782576560974 -0.58128160238266 0.491368651390076 -0.14486962556839
1881 -0.727956891059875 -0.504750192165375 -0.127326890826225 -0.0958798006176949
1882 0.320477217435837 -0.565170884132385 0.811125099658966 0.0745229870080948
1883 0.0761041715741158 -0.488943248987198 0.486984103918076 0.0780632942914963
1884 0.253625005483627 0.0217245388776064 0.217242136597633 0.0146583113819361
1885 -0.378606677055359 -0.200165987014771 -0.126101046800613 -0.0523396581411362
1886 -0.978512167930603 -0.5438551902771 -0.357980936765671 -0.0766760408878326
1887 0.176114171743393 -0.138540387153625 0.392382204532623 -0.0777276605367661
1888 0.604347288608551 0.274670302867889 0.310719668865204 0.0189572926610708
1889 -0.215873196721077 -0.0547330006957054 -0.169209107756615 0.00806890986859798
1890 0.784569621086121 0.34112885594368 0.378956615924835 0.0644841566681862
1891 -0.923276245594025 -0.341616690158844 -0.548649609088898 -0.0330099016427994
1892 -0.415782302618027 -0.426357746124268 0.0734541639685631 -0.0628787279129028
1893 -0.586025714874268 -0.0285588894039392 -0.389223664999008 -0.168243154883385
1894 -0.319397777318954 -0.114374719560146 -0.0622491575777531 -0.142773881554604
1895 -0.317494302988052 -0.387412458658218 0.0165408682078123 0.0533773116767406
1896 -0.227002367377281 -0.0769173428416252 -0.0861178785562515 -0.0639671459794044
1897 -0.00727153103798628 0.121471270918846 0.0447832010686398 -0.173526003956795
1898 -0.340134173631668 0.00539858965203166 -0.214268758893013 -0.131264001131058
1899 -1.67326664924622 -0.857221603393555 -0.615359902381897 -0.200685158371925
1900 -0.327079832553864 -0.444906949996948 0.193918660283089 -0.0760915502905846
1901 -0.0266274977475405 -0.381309032440186 0.369034647941589 -0.0143530936911702
1902 -1.35906934738159 -0.434883534908295 -0.71443909406662 -0.209746733307838
1903 -0.449783593416214 -0.258644640445709 -0.171985819935799 -0.0191531293094158
1904 0.555674910545349 -0.324388384819031 0.839415371417999 0.0406478941440582
1905 -0.916988611221313 -0.524328887462616 -0.382677763700485 -0.00998198799788952
1906 0.390303522348404 0.181430011987686 0.217679038643837 -0.00880553387105465
1907 0.326682299375534 -0.161832869052887 0.497726738452911 -0.00921158399432898
1908 -0.341053366661072 -0.215574517846107 0.0281723439693451 -0.153651207685471
1909 -0.696378767490387 -0.875771760940552 0.206092312932014 -0.0266993008553982
1910 0.18482381105423 -0.278850853443146 0.463435232639313 0.000239440851146355
1911 -0.263721764087677 -0.104336433112621 -0.148134648799896 -0.0112506914883852
1912 -0.362841993570328 0.22389754652977 -0.425611406564713 -0.161128133535385
1913 -0.444801092147827 -0.405701994895935 0.0528989359736443 -0.0919980406761169
1914 -0.370312064886093 0.52480411529541 -0.645687699317932 -0.249428510665894
1915 -0.396190792322159 0.483725875616074 -0.75960510969162 -0.120311550796032
