1881,9,9,9,9,9,9,9,9,9,9,9,9
1882,0.611,0.046,0.093,-0.705,-0.719,-0.72,-0.53,-0.098,-0.109,-0.356,-0.762,-0.949
1882,9,9,9,9,9,9,9,9,9,9,9,9
1883,-1.037,-0.943,-1.105,-0.735,-0.621,-0.078,-0.305,-0.478,-0.534,-0.546,-0.618,-0.423
1883,9,9,9,10,10,9,9,10,10,10,9,9
1884,-0.617,-0.475,-0.791,-1.041,-1.001,-0.719,-0.749,-0.291,-0.487,-0.602,-1.036,-0.688
1884,10,10,10,10,10,10,10,10,10,10,10,10
1885,-1.268,-0.847,-1.062,-0.909,-0.914,-0.766,-0.436,-0.624,-0.381,-0.537,-0.503,-0.05
1885,10,10,10,10,10,10,10,10,10,10,10,10
1886,-0.752,-1.083,-0.903,-0.344,-0.439,-0.62,-0.302,-0.349,-0.212,-0.542,-0.528,-0.341
1886,10,11,11,11,11,11,10,10,11,11,11,10
1887,-0.758,-0.84,-0.592,-0.657,-0.424,-0.454,-0.354,-0.454,-0.308,-0.793,-0.647,-0.604
1887,11,11,11,11,11,11,11,11,11,11,11,11
1888,-1.123,-0.973,-1.327,-0.327,-0.742,-0.471,-0.403,-0.432,-0.231,-0.361,-0.449,-0.318
1888,11,11,11,11,11,11,11,11,11,11,11,11
1889,-0.489,-0.44,-0.261,-0.015,0.093,-0.127,-0.328,-0.381,-0.56,-0.356,-0.698,-0.023
1889,11,11,11,11,11,11,11,11,11,12,12,12
1890,-0.19,-0.415,-0.522,-0.295,-0.583,-0.306,-0.431,-0.436,-0.245,-0.519,-0.757,-0.686
1890,12,12,12,12,12,12,12,12,12,12,12,12
1891,-0.933,-0.859,-0.639,-0.659,-0.432,-0.429,-0.453,-0.508,-0.231,-0.49,-0.884,0.103
1891,12,12,13,12,12,12,12,12,12,12,12,12
1892,-0.665,-0.074,-0.879,-0.837,-0.795,-0.479,-0.492,-0.387,-0.296,-0.49,-0.846,-1.347
1892,12,12,12,12,12,12,13,13,12,13,13,12
1893,-2.079,-1.531,-0.608,-0.688,-0.754,-0.493,-0.203,-0.418,-0.448,-0.307,-0.56,-0.354
1893,13,13,13,13,13,12,13,13,13,13,13,13
1894,-0.615,-0.433,-0.219,-0.45,-0.559,-0.604,-0.449,-0.384,-0.703,-0.439,-0.454,-0.467
1894,13,13,13,13,13,13,13,13,13,13,13,13
1895,-1.134,-1.472,-0.731,-0.433,-0.471,-0.383,-0.625,-0.351,-0.203,-0.353,-0.445,-0.296
1895,13,13,13,13,13,13,13,13,13,13,13,13
1896,-0.318,-0.351,-0.813,-0.764,-0.355,-0.279,-0.249,-0.313,-0.275,-0.012,-0.918,-0.17
1896,13,13,13,13,13,13,13,13,13,13,13,13
1897,-0.621,-0.375,-0.78,-0.103,-0.065,-0.167,-0.129,-0.23,-0.057,-0.264,-0.489,-0.569
1897,14,14,14,14,14,14,14,14,14,14,14,14
1898,0.261,-0.405,-1.274,-0.699,-0.614,-0.233,-0.333,-0.159,-0.137,-0.548,-0.408,-0.123
1898,14,14,14,14,14,14,14,14,14,14,15,14
1899,-0.13,-0.7,-0.778,-0.275,-0.485,-0.565,-0.229,-0.207,-0.002,-0.205,0.254,-0.612
1899,15,15,15,15,15,15,15,15,15,14,15,14
1900,-0.459,-0.439,-0.458,-0.432,-0.249,-0.018,-0.26,-0.12,-0.244,0.284,-0.208,0.151
1900,15,15,15,15,15,15,15,15,15,15,15,15
1901,-0.209,-0.53,-0.105,-0.057,-0.156,0.089,-0.001,-0.06,-0.114,-0.174,-0.338,-0.391
1901,15,15,15,15,15,15,15,15,15,15,15,15
1902,0.05,-0.098,-0.315,-0.456,-0.401,-0.274,-0.426,-0.476,-0.401,-0.538,-0.622,-0.82
1902,16,16,16,16,16,16,16,16,16,16,16,16
1903,-0.154,0.089,-0.178,-0.537,-0.551,-0.517,-0.49,-0.427,-0.345,-0.54,-0.642,-0.778
1903,16,16,16,16,16,16,16,16,16,16,16,16
1904,-0.781,-0.662,-0.874,-0.527,-0.474,-0.464,-0.482,-0.398,-0.481,-0.368,-0.292,-0.439
